Image; Model; Series; Yen Price; Release Date; Notes;Type
Hguc-gundam-mk-ii-fa.jpg;RX-178 Gundam Mk-II + Flyingarmor;Mobile Suit Zeta Gundam;¥2,000;2005 January;Color variant of HGUC-030 with Flying Armor. The Gundam Mk-II's legs are modified like HGUC-50, allowing for greater movement. Includes display base for Flying Armor and mesh pipes for the beam saber holder joints on the backpack. Also the first kit to include a preview of all the previously released kits from that anime series in the instruction manual. , ;HGUC
054.jpg;NRX-044 Asshimar;Mobile Suit Zeta Gundam;¥2,000;2005 June;"Fully transformable kit. Includes ""swivel"" display base with storage compartment for extra parts and adapter for Mobile Armor mode., ";HGUC
Hizack boxart.jpg;RMS-106 Hi-Zack (Earth Federation Force colors);Mobile Suit Zeta Gundam;¥1,000;2005 June;Color variant of HGUC-012. Includes marking sheet with EFF and Titans symbols. Later reissues of this kit have the pelvis piece B7 molded with a rectangular hole to accommodate an Action Base 2., ;HGUC
HGUC RX-121-2A Gundam TR-1 Advanced Hazel.jpg;RX-121-2A Gundam TR-1 [Advanced Hazel];Advance of Zeta: The Flag of Titans;¥1,600;2005 November;Parts and color variant of HGUC-056. Later reissues had the D plate runner molded in KPS instead of ABS., ;HGUC
G0139596.jpg.png;RX-110 Gabthley;Mobile Suit Zeta Gundam;¥1,600;2005 December;"Fully transformable kit with three modes, including a ""Middle Form"". Includes ""swivel"" display base with storage compartment for extra parts and adapter for Mobile Armor mode., ";HGUC
Hguc-ms-09r.jpg;MS-09/MS-09R Dom/Rick Dom;Mobile Suit Gundam;¥1,700;2006 January;First ever HGUC model to provide spare parts of alternate types. First 1/144 Dom to use a clear visor and adjustable monoeye., ;HGUC
060.jpg;PMX-001 Palace Athene;Mobile Suit Zeta Gundam;¥1,800;2006 February;N/A;HGUC
Hguc-msa-005.jpg;MSA-005 Methuss;Mobile Suit Zeta Gundam;¥1,400;2006 March;Fully transformable kit. Linkage part to HGUC-048 is included., ;HGUC
Hguc-amx-003gazac.jpg;AMX-003 Gaza-C (Haman Karn Custom);Mobile Suit Zeta Gundam -A New Translation-;¥1,400;2006 April;Fully transformable kit. Actual kit colors are not accurate to the anime art, as the parts are molded in pinkish white and maroon instead of the proper lavender and purple., ;HGUC
Hguc-amx-003gazac-2.jpg;AMX-003 Gaza-C;Mobile Suit Zeta Gundam;¥1,400;2006 April;Color variant of HGUC-062. Fully transformable kit. Includes BA-1 display base., ;HGUC
Hguc-ms-05b.jpg;MS-05B Zaku I;Mobile Suit Gundam;¥1,000;2006 May;N/A;HGUC
Hguc-ems10.jpg;EMS-10 Zudah;Mobile Suit Gundam MS IGLOO;¥1,400;2006 June;Features extendable arms. Includes pieces to make three different head configurations (two standard type and one commander type)., ;HGUC
HGUC RX-78-2GP02A Gundam Physalis Boxart.jpg;RX-78GP02A Gundam GP02A;Mobile Suit Gundam 0083: Stardust Memory;¥2,000;2006 July;Released to commemorate the 15th anniversary of ''Mobile Suit Gundam 0083''. Uses almost no polycaps on the vital joints (only on the waist, hips, ankles, and accessories). Includes BA-1 display base and adapter for use with HGUC-013 or HGUC-018 to re-enact fight scenes from the OVA., ;HGUC
