Image; Model; Series; Yen Price; Release Date; Notes;Type
Gunpla_HGUC_FullFrontalGearaDoga_box.jpg;AMS-119C Geara Doga (Full Frontal Use);Mobile Suit Gundam Unicorn MSV;¥2,000;2012 July;"P-Bandai exclusive color variant of HGUC-092 with new ""Sleeves"" parts and additional weapons. Includes HGUC-091's beam machine gun. Uses the F plate runner of HGUC-102., ";HGUC
Gunpla_HGUC_BlueDestinyUnit2Omega_box.jpg;RX-79BD-2 Blue Destiny Unit 2 O Color;Mobile Suit Gundam Katana;¥1,500;2012 July;P-Bandai exclusive color variant of HGUC-077., ;HGUC
HG ReZEL Type-C GR.jpg;RGZ-95C ReZEL Type-C (GR);Mobile Suit Gundam Unicorn;¥2,200;2012 August;P-Bandai exclusive color variant of HGUC-108., ;HGUC
HG GM II A.E.U.G. Color Ver.jpg;RMS-179 GM II (A.E.U.G. Color Ver.);Mobile Suit Zeta Gundam;¥1,400;2012 November;P-Bandai exclusive color variant of HGUC-131., ;HGUC
HG Base Jabber Zeon Remnants Ver.jpg;Base Jabber (Unicorn Zeon Remnants Color Ver.);Mobile Suit Gundam Unicorn;¥1,000;2012 November;P-Bandai exclusive color variant of HGUC-144., ;HGUC
HGUC Gundam Unicorn Destroy Mode Green Frame Ver Box 90516.1374078311.1280.1280.jpg;RX-0 Unicorn Gundam (Destroy Mode Green Frame Ver.);Mobile Suit Gundam Unicorn;¥1,944;2012 November;Gunpla Expo World Tour Japan 2012 exclusive color variant of HGUC-100., ;HGUC
HG ReZEL Defenser b-Unit.jpg;RGZ-95 ReZEL (Defenser b-Unit);Mobile Suit Gundam Unicorn - Bande Dessinee;¥2,600;2013 January;P-Bandai exclusive color variant of HGUC-142., ;HGUC
Gunpla_HGUC_RGM79_RX77D-WhiteDingo_box.jpg;RGM-79 GM & RX-77D Guncannon Mass Production Type (White Dingo Team Custom);Mobile Suit Gundam Side Story 0079: Rise From The Ashes;¥2,400;2013 February;P-Bandai exclusive twin pack containing color variants of HGUC-020 and HGUC-044. Includes shield and machine gun for GM, clear visor part for Guncannon and additional marking sheet. Uses the D plate runner of HGUC-077., ;HGUC
Gunpla_HGUC_MS07B_MS14G_box.jpg;MS-07B Gouf & MS-14G Gelgoog (Visch Donahue's Custom);Mobile Suit Gundam Side Story 0079: Rise From The Ashes;¥2,400;2013 February;P-Bandai exclusive twin pack containing color variants of HGUC-009 and HGUC-076., ;HGUC
HG Unicorn Gundam 02 Banshee Destroy Mode NT-D Clear Ver.jpg;RX-0 Unicorn Gundam 02 Banshee (Destroy Mode) NT-D Clear Ver.;Mobile Suit Gundam Unicorn;¥1,900;2013 March;P-Bandai exclusive clear color variant of HGUC-134. Released for the theatrical premiere of Two Worlds, Two Tomorrows, episode 6 of the OVA. ;HGUC
HG Unicorn Gundam 02 Banshee Unicorn Mode Dark Clear Ver.jpg;RX-0 Unicorn Gundam 02 Banshee (Unicorn Mode) Dark Clear Ver.;Mobile Suit Gundam Unicorn;¥1,600;2013 March;P-Bandai exclusive clear color variant of HGUC-135. Released for the theatrical premiere of Two Worlds, Two Tomorrows, episode 6 of the OVA. ;HGUC
HG Unicorn 02 Banshee Gundam Head Display Base.jpg;RX-0 Unicorn Gundam 02 Banshee Head Display Base;Mobile Suit Gundam Unicorn;¥1,143;2013 March;''Hobby Japan'' May 2013 issue exclusive parts and color variant of the 1/48 scale transformable RX-0 Unicorn Gundam head display base originally offered with the January 2010 issue of ''Dengeki Hobby''. Compatible with HGUC-134/135., ;HGUC
HGUC-Sazabi-GFT.jpg;MSN-04 Sazabi Ver.GFT;Mobile Suit Gundam: Char's Counterattack;¥2,880;2013 April;Gundam Front Tokyo exclusive re-release of HGUC-088 with an extra marking sheet., ;HGUC
HGUC-Acguy-GFT.jpg;MSM-04 Acguy Ver.GFT Tricolor Paint;Gundam Stand at Jaburo;¥1,749;2013 April;Gundam Front Tokyo exclusive color variant of HGUC-078 in Gundam colors., ;HGUC
HG Base Jabber Zeta Gundam Ver.jpg;Base Jabber (Zeta Gundam Ver.);Mobile Suit Zeta Gundam;¥1,000;2013 June;P-Bandai exclusive parts and color variant of HGUC-144., ;HGUC
HG Gato's Gelgoog.jpg;MS-14A Gato's Gelgoog;Mobile Suit Gundam 0083: Stardust Memory;¥1,800;2013 July;P-Bandai exclusive color variant of HGUC-070 with Prototype Beam Rifle., ;HGUC
HGUC-Z'Gok-GM-GFT.jpg;Char's Z'Gok vs. GM Ver.GFT;Mobile Suit Gundam;¥1,543;2013 July;Gundam Front Tokyo exclusive twin pack containing color variants of HGUC-019 and HGUC-020., ;HGUC
HGUC-Phenex.jpg;RX-0 Unicorn Gundam 03 Phenex (Destroy Mode) Ver.GFT;Mobile Suit Gundam UC: One of Seventy Two;¥2,500;2013 August;Gundam Front Tokyo exclusive parts and color variant of HGUC-100 with blue psychoframe., ;HGUC
HG Char's Zaku Ver.Zeonic Toyota.jpg;"MS-06S ""Zaku"" Ver.ZeonicToyota";Mobile Suit Gundam;N/A;2013 August;"Toyota exclusive color variant of HGUC-032 to promote the Char Aznable x Toyota: MS-186H-CH ""Auris Char Aznable"" campaign., ";HGUC
HG Type 94 Base Jabber.jpg;Type94 Base Jabber;Mobile Suit Gundam Unicorn;¥1,000;2013 September;P-Bandai exclusive add-on kit for HGUC-100/101/156/178/199, HGUC-097, or most 1/144 scale kits., ;HGUC
Gunpla_HGUC_Zogok_JaburoCapture_box.jpg;MSM-08 Zogok (Operation Capture of Jaburo Ver.);Mobile Suit Variations;¥1,900;2013 October;P-Bandai exclusive color variant of HGUC-161. Includes additional marking sheet., ;HGUC
Gunpla_HGUC_Acguy_7-11_box.jpg;MSM-04 Acguy Ver.GFT [7-Eleven Color];Mobile Suit Gundam;¥1,749;2013 October;7-Eleven Japan exclusive color variant of HGUC-078 Ver.GFT with additional sticker sheet., ;HGUC
HGUC-EwacZack-GazaC-GearaDoga-UC.jpg;RMS-119 EWAC Zack / AMX-003 Gaza-C / AMS-119 Geara Doga (Gundam Unicorn Ver.) Set;Mobile Suit Gundam Unicorn;¥4,900;2013 November;"P-Bandai exclusive boxed set containing color variants of HGUC-096, HGUC-062, and HGUC-091 with new ""Sleeves"" parts. EWAC Zack includes new pelvis piece B7 to accommodate Action Base 2., ";HGUC
Gunpla_HGUC_Rebawoo_box.jpg;AMX-107R Rebawoo;Mobile Suit Gundam Unicorn MSV;¥2,400;2013 December;P-Bandai exclusive parts and color variant of HGUC-015. Some parts require cementing. Uses the D and two F plate runners of HGUC-116. Fully transformable kit., ;HGUC
HGUC-Banshee-GFT.jpg;RX-0 Unicorn Gundam 02 Banshee (Destroy Mode) Ver.GFT;Mobile Suit Gundam Unicorn;¥2,571;2013 December;Gundam Front Tokyo release of HGUC-134 with darker gold psychoframe and additional left trigger hand., ;HGUC
HGUC-NuGundam-711.jpg;RX-93 ν Gundam Ver.GFT [7-Eleven Color];Mobile Suit Gundam: Char's Counterattack;¥2,625;2014 January;7-Eleven Japan exclusive color variant of HGUC-086 Ver.GFT with additional sticker sheet., ;HGUC
Gunpla_HGUC_ByCus02_Blue_box.jpg;RX-160S-2 Byarlant Custom 02;Mobile Suit Gundam Unicorn MSV;¥3,200;2014 February;P-Bandai exclusive parts and color variant of HGUC-147. Color variant of Byarlant Custom 02 (Bande Dessinee Ver.). Fully transformable kit. Includes adapter parts for HGUC-042's booster unit and display base., ;HGUC
Gunpla_HGUC_ByCus02_Grey_box.jpg;RX-160S-2 Byarlant Custom 02 (Bande Dessinee Ver.);Mobile Suit Gundam Unicorn - Bande Dessinee;¥3,200;2014 February;P-Bandai exclusive parts and color variant of HGUC-147. Color variant of Byarlant Custom 02. Fully transformable kit. Includes adapter parts for HGUC-042's booster unit and display base., ;HGUC
Gunpla_HGUC_ARX014-funnel_box.jpg;ARX-014P Silver Bullet Funnel Test Type;Mobile Suit Gundam Unicorn MSV;¥2,400;2014 March;P-Bandai exclusive color variant of HGUC-170 with Wired Large Funnel equipped backpack. , ;HGUC
HG ∀ Gundam Moonlight Butterfly Effect Part.jpg;"Effect Unit ""Moonlight Butterfly"" for ∀ Gundam";∀ Gundam;¥1,700;2014 April;P-Bandai exclusive effects accessory kit for HGUC-177.;HGUC
HGUC-Phenex-ColorClear.jpg;RX-0 Unicorn Gundam 03 Phenex (Destroy Mode) Ver.GFT Clear Color Ver.;Mobile Suit Gundam UC: One of Seventy Two;¥2,571;2014 April;Gundam Front Tokyo exclusive parts and color variant of HGUC-100 with blue psychoframe. Clear color variant of HGUC RX-0 Unicorn Gundam 03 Phenex (Destroy Mode) Ver.GFT., ;HGUC
HGUC-UnicornGundam-711.jpg;RX-0 Unicorn Gundam (Destroy Mode) [7-Eleven Color];Mobile Suit Gundam Unicorn;¥1,944;2014 May;7-Eleven Japan exclusive color variant of HGUC-100., ;HGUC
HG Jegan D Type.jpg;RGM-89D Jegan D Type;Mobile Suit Gundam Unicorn;¥1,600;2014 May;P-Bandai exclusive parts and color variant of HGUC-123., ;HGUC
Gunpla_HGUC_Juaggu_Limited_Clear_box.jpg;MSM-04G Juaggu (Unicorn Ver.) Theatrical Clear Ver.;Mobile Suit Gundam Unicorn;¥1,900;2014 May;Theater exclusive clear color variant of HGUC-139. Released for the theatrical premiere of Over the Rainbow, episode 7 of the OVA. ;HGUC
HGUC HGUC Geara Zulu (Cuaron Use).jpg;AMS-129 Geara Zulu (Cuaron Use);Mobile Suit Gundam Unicorn;¥1,800;2014 June;P-Bandai exclusive parts variant of HGUC-102., ;HGUC
HGUC Geara Zulu (Gilboa Sant Use).jpg;AMS-129 Geara Zulu (Gilboa Sant Use);Mobile Suit Gundam Unicorn;¥1,800;2014 June;P-Bandai exclusive parts variant of HGUC-102., ;HGUC
HG Rozen Zulu Elite Rose Guard Clear Ver.jpg;YAMS-132 Rozen Zulu Elite Rose Guard Clear Ver.;Mobile Suit Gundam Unicorn;¥2,762;2014 June;P-Bandai exclusive clear color variant of HGUC-149. Released for the theatrical premiere of Over the Rainbow, episode 7 of the OVA. ;HGUC
HG Jesta Cannon Tristar Clear Ver.jpg;RGM-96X Jesta Cannon Tri-Star Clear Ver.;Mobile Suit Gundam Unicorn;¥2,000;2014 June;P-Bandai exclusive clear color variant of HGUC-152. Released for the theatrical premiere of Over the Rainbow, episode 7 of the OVA. ;HGUC
Gunpla_1-144_HGUC_nrx044-GreenDivers_p01_front.jpg;NRX-044 Asshimar Green Divers Ver.;Gundam Neo Experience 0087: Green Divers;¥2,000;2014 July;P-Bandai exclusive color variant of HGUC-154. Fully transformable kit., ;HGUC
HGFC-TohoFuhaiHyperModeSet.jpg;''''G''''' Gundam vs Master Gundam School of Toho Fuhai Hyper Mode Set;Mobile Fighter G Gundam;¥6,000;2014 August;P-Bandai exclusive twin pack containing gold chrome plated variants of HGFC-110 and HGFC-128 (without Fuunsaiki)., ;HGUC
RickDom-Gato.jpg;MS-09RS Anavel Gato's Rick Dom;Mobile Suit Gundam 0083 Rebellion;¥1,700;2014 August;P-Bandai exclusive color variant of HGUC-059., ;HGUC
HGUC Expansion Effect Unit for Neo Zeong Psycho Shard.jpg;"Expansion Effect Unit for Neo Zeong ""Psycho Shard""";Mobile Suit Gundam Unicorn;¥2,700;2014 August;P-Bandai exclusive effects accessory kit for HGUC-181 and HGUC NZ-999 II Neo Zeong (Narrative Ver.)., ;HGUC
Unicorn-Odaiba-GFT.jpg;Unicorn Gundam 01 02 Ver.GFT [Strikes Odaiba Set];Mobile Suit Gundam UC: Neo Zeong Strikes Odaiba!;¥6,480;2014 August;Gundam Front Tokyo exclusive twin pack containing color variants of HGUC-178 and HGUC-175., ;HGUC
Gunpla_HGUC_Ball_7-11_box.jpg;"RB-79 ""Ball"" Twin Set [7-Eleven Color]";Mobile Suit Gundam;¥1,512;2014 October;7-Eleven Japan exclusive color variant of HGUC-114., ;HGUC
HGUC Acguy Gold Injection Color.jpg;MSM-04 Acguy Gold Injection Color;Mobile Suit Gundam;N/A;2014 October;Banpresto Ichiban Kuji excusive gold injection color variant of HGUC-078. Offered as a raffle prize., ;HGUC
HGUC Zeta Plus A1 -Test Color Ver.-.jpg;MSZ-006A1 Zeta plus (Test Image Color);Gundam Sentinel;¥2,399;2014 November;Gunpla Expo 2014 exclusive color variant of HGUC-182. Transforms via parts-swapping., ;HGUC
HGUC Gundam F91 (Afterimage Image Clear Ver).jpg;F91 Gundam F91 (Afterimage Image Clear Ver);Mobile Suit Gundam F91;¥1,195;2014 November;Gunpla Expo 2014 exclusive clear color variant of HGUC-167., ;HGUC
HGUC Full Armor Unicorn Gundam (Destroy Mode) Red Plated Frame Mechanical Clear Ver.jpg;RX-0 Full Armor Unicorn Gundam (Destroy Mode) Red Plated Frame / Mechanical Clear Ver.;Mobile Suit Gundam Unicorn;¥4,000;2014 November;Gunpla Expo 2014 exclusive clear color variant of HGUC-178., ;HGUC
HGUC Jegan Normal Type.jpg;RGM-89J Jegan Normal Type (F91 Ver.);Mobile Suit Gundam F91;¥1,700;2014 November;P-Bandai exclusive parts and color variant of HGUC-097., ;HGUC
HGUC Jegan B-Type (F91 Ver.).jpg;RGM-89M Jegan B Type (F91 Ver.);Mobile Suit Gundam F91;¥1,700;2015 February;P-Bandai exclusive parts and color variant of HGUC-097., ;HGUC
ZII-TravisKirkland.jpg;MSZ-008 ZII (Travis Kirkland Color);Mobile Suit Gundam Side Story: Missing Link;¥2,400;2015 April;P-Bandai exclusive color variant of HGUC-186. Transforms via parts-swapping. Includes additional sticker sheet., ;HGUC
HGUC Pale Rider -Ground Heavy Equipment Type-.jpg;RX-80PR Pale Rider (Ground Heavy Equipment Type);Mobile Suit Gundam Side Story: Missing Link;¥1,800;2015 April;P-Bandai exclusive non-metallic parts and color variant of HGUC RX-80PR Pale Rider (Limited Metallic Ver.)., ;HGUC
HGUC-Phenex-TypeRC.jpg;RX-0 Unicorn Gundam 03 Phenex type RC (Destroy Mode) Ver.GFT Silver;Gundam Reconguista in G: From the Past to the Future;¥2,571;2015 April;Gundam Front Tokyo exclusive exclusive parts and silver chrome plated variant of HGUC-100. Silver chrome plated variant of HGUC RX-0 Unicorn Gundam 03 Phenex (Destroy Mode) Ver.GFT with red psychoframe., ;HGUC
HGUC Crossbone Gundam X-1 Kai.jpg;XM-X1 Crossbone Gundam X1 Kai;Mobile Suit Crossbone Gundam;¥2,000;2015 May;P-Bandai exclusive parts variant of HGUC-187., ;HGUC
HGUC Jegan A-Type (F91 Ver.).jpg;RGM-89R Jegan A Type (F91 Ver.);Mobile Suit Gundam F91;¥1,700;2015 May;P-Bandai exclusive parts and color variant of HGUC-097., ;HGUC
HGUC Victory Two Gundam Wings of Light Set.jpg;"Expansion Effect Unit ""Wings of Light"" for Victory Two Gundam";Mobile Suit Victory Gundam;¥1,500;2015 May;P-Bandai exclusive effects accessory kit for HGUC-169. Comes in clear blue and clear pink., ;HGUC
HGUC Stark Jegan CCA-MSV Ver..jpg;RGM-89S Stark Jegan (CCA-MSV Ver.);CCA-MSV;¥2,300;2015 June;P-Bandai exclusive parts and color variant of HGUC-104., ;HGUC
HGUC Crossbone Gundam X-2 Kai.jpg;XM-X2ex Crossbone Gundam X2 Kai;Mobile Suit Crossbone Gundam;¥2,000;2015 June;P-Bandai exclusive parts and color variant of HGUC-187., ;HGUC
Gunpla_HGUC_Zssa-ZZ_box.jpg;AMX-102 Zssa;Mobile Suit Gundam ZZ;¥2,400;2015 June;"P-Bandai exclusive color variant of HGUC-180 with ""Sleeves"" parts omitted., ";HGUC
HGUC Gundam Ver.G35th.jpg;RX-78-2 Gundam Ver.G35th BASE;Mobile Suit Gundam;¥1,300;2015 July;The Art of Gundam Exhibition exclusive re-release of HGUC-191 with special display base and extra sticker sheet., ;HGUC
HG Unicorn Gundam 03 Phenex Type RC Destroy Mode Ver. GFT Limited Silver Coating.JPG;RX-0 Unicorn Gundam 03 Phenex type RC (Destroy Mode) Ver.GFT Limited Silver Coating;Gundam Reconguista in G: From the Past to the Future;¥7,560;2015 July;Gundam Front Tokyo exclusive re-release of HGUC RX-0 Unicorn Gundam 03 Phenex Type RC (Destroy Mode) Ver. GFT Limited Silver Coating. Bundled with the Blu-ray Disc release of ''Gundam Reconguista in G: From the Past to the Future''., ;HGUC
HGUC V-Dash Gundam Clear Color Ver..jpg;LM312V04+SD-VB03A V-Dash Gundam Clear Color Ver.;Mobile Suit Victory Gundam;¥1,940;2015 August;Chara Hobby 2015 C3xHobby exclusive clear color variant of HGUC-188., ;HGUC
Hguc unicorn hong kong (1).jpg;RX-0 Unicorn Gundam (Destroy Mode) Ver. GUNDAM docks at Hong Kong II;Mobile Suit Gundam Unicorn;HK$175;2015 August;Gundam Docks at Hong Kong II exclusive re-release of HGUC-100 with special marking sheet and display base., ;HGUC
Gunpla_HGUC_ARX014-Gael_box.jpg;ARX-014 Gael Chan's Silver Bullet;Mobile Suit Gundam Unicorn;¥2,300;2015 September;P-Bandai exclusive color variant of HGUC-170 with new head parts., ;HGUC
Jegan-Type-A2-GR.jpg;RGM-89A2 Jegan Type-A2 (General Revil Deployment);Mobile Suit Gundam Unicorn;¥1,700;2015 September;P-Bandai exclusive parts and color variant of HGUC-097., ;HGUC
HGUC G-3 Gundam Revive Ver..jpg;RX-78-3 Gundam;Mobile Suit Variations;¥1,200;2015 September;Gunpla Expo 2015 exclusive color variant of HGUC-191., ;HGUC
HGUC GM II Semi-Striker.jpg;RMS-179 GM II Semi Striker;Mobile Suit Gundam Unicorn;¥1,600;2015 October;P-Bandai exclusive re-release of HGUC RMS-179 GM II (Desert Color Ver.) with Twin Beam Spear and new armor parts. Uses the A plate runner of HGUC-072., ;HGUC
HG Victory Two Assault-Buster Gundam Clear Color & Plated Ver.jpg;LM314V23/24 Victory Two Assault-Buster Gundam Clear Color & Plated Ver.;Mobile Suit Victory Gundam;¥3,240;2015 October;Gunpla Expo World Tour Japan 2015 exclusive clear color and gold chrome plated variant of HGUC-189., ;HGUC
HG Delta Gundam II Ver.GFT Limited Color.jpg;MSN-001-2 Delta Gundam II Ver.GFT Limited Color;Mobile Suit Gundam Unicorn MSV;¥2,500;2015 November;Gundam Front Tokyo exclusive color variant of HGUC-136. Transforms via parts-swapping., ;HGUC
HG Gundam Ver. Gunpla Cake Special Mission.jpg;RX-78-2 Gundam Ver.Gunpla Cake Special Mission;Mobile Suit Gundam;¥3,980;2015 December;P-Bandai exclusive re-release of HGUC-191 with a Gunpla 35th Anniversary chocolate/coffee/almond cake. Includes Beam Rifle Spoon and Beam Javelin Fork. Box packaging of the cake is a reprint of the List of Gundam Models since original 1980 1/144 Gundam kit box.;HGUC
HGUC White Base Catapult Deck.jpg;White Base Catapult Deck;Mobile Suit Gundam;¥11,232;2016 January;P-Bandai exclusive diorama kit for HGUC-191, HGUC-190, and HGUC-007. Manufactured by MegaHouse under their Realistic Model Series banner., ;HGUC
HGUC Ple Two's Qubeley Mk-II.jpg;AMX-004-3 Ple Two's Qubeley Mk-II;Mobile Suit Gundam ZZ;¥1,800;2016 March;P-Bandai exclusive color variant of HGUC-195., ;HGUC
HGUC Qubeley Funnel Effect Set.jpg;Qubeley Funnel Effect Set;Mobile Suit Zeta Gundam / Mobile Suit Gundam ZZ;¥1,000;2016 March;P-Bandai exclusive accessory kit for HGUC-195 and HGUC AMX-004-3 Qubeley Mk-II (Ple Two Custom). Includes 12 clear blue effect parts and a clear BA-1 display base., ;HGUC
HGUC Gerbera Tetra (Roll-out Ver.).jpg;AGX-04 Gerbera Tetra (Roll Out Ver.);Mobile Suit Gundam 0083: Mayfly of Space 2;¥2,000;2016 May;P-Bandai exclusive color variant of HGUC-159 with new head parts. Released to coincide with the 25th anniversary of ''Gundam 0083''., ;HGUC
HGUC Dra-C Custom.jpg;MS-21D1 Dra-C Custom;Mobile Suit Gundam 0083: Mayfly of Space 2;¥2,200;2016 May;P-Bandai exclusive parts and color variant of HGUC-133. Released to coincide with the 25th anniversary of ''Gundam 0083''., ;HGUC
HGUC Crossbone Gundam X-2.jpg;XM-X2 Crossbone Gundam X2;Mobile Suit Crossbone Gundam;¥2,000;2016 May;P-Bandai exclusive parts and color variant of HGUC-187., ;HGUC
HGUC Gundam (21st Century Real Type Ver.).jpg;RX-78 Gundam (21st Century Real Type Ver.);Mobile Suit Gundam;¥1,200;2016 June;P-Bandai exclusive color variant of HGUC-191. Color scheme and box art pay homage to the List of 1981 Real Type Gunpla series. Includes water slide marking sheet., ;HGUC
HGUC Guncannon (21st Century Real Type Ver.).jpg;RX-77 Guncannon (21st Century Real Type Ver.);Mobile Suit Gundam;¥1,400;2016 June;P-Bandai exclusive color variant of HGUC-190. Includes Beam Cannons, Spray Missile launchers, and water slide marking sheet., ;HGUC
HGUC Gouf (21st Century Real Type Ver.).jpg;MS-07 Gouf (21st Century Real Type Ver.);Mobile Suit Gundam;¥1,700;2016 June;P-Bandai exclusive color variant of HGUC-196. Includes water slide marking sheet., ;HGUC
HG Delta Gundam II Ver.GFT Limited Clear Color.JPG;MSN-001-2 Delta Gundam II Ver.GFT Limited Clear Color;Mobile Suit Gundam Unicorn MSV;¥2,500;2016 July;Gundam Front Tokyo exclusive color variant of HGUC-136. Clear color variant of HGUC MSN-001-2 Delta Gundam II Ver.GFT Limited Color. Transforms via parts-swapping., ;HGUC
HG Unicorn Gundam 03 Phenex Destroy Mode Silver Gold Plating Ver.GFT Set.jpg;RX-0 Unicorn Gundam 03 Phenex (Destroy Mode) Ver.GFT Limited Gold & Silver Coating Set;Mobile Suit Gundam UC: One of Seventy Two;¥10,800;2016 July;Gundam Front Tokyo exclusive twin pack containing gold and silver chrome plated (with red psychoframe) variants of HGUC RX-0 Unicorn Gundam 03 Phenex (Destroy Mode) Ver.GFT., ;HGUC
HGUC RX-78-2 Gundam Clear Color Ver.jpg;RX-78-2 Gundam Clear Color Ver.;Mobile Suit Gundam;¥1,000;2016 August;Events, Gundam Front Tokyo and The Gundam Base Tokyo exclusive clear color variant of HGUC-191., ;HGUC
HGCE Blast Impulse Gundam.jpg;ZGMF-X56S/γ Blast Impulse Gundam;Mobile Suit Gundam SEED Destiny;¥1,800;2016 August;P-Bandai exclusive parts and color variant of HGUC-198., ;HGUC
HG Unicorn Gundam Destroy Mode + Head Display Base Final Battle Ver.jpeg;RX-0 Unicorn Gundam (Destroy Mode) + 1/48 Head Display Base The Final Battle Ver.;Mobile Suit Gundam Unicorn;¥2,700;2016 August;The Gundam Product Art Exhibition exclusive color variant of HGUC-100 with 1/48 scale transformable RX-0 Unicorn Gundam head display base originally offered with the January 2010 issue of ''Dengeki Hobby''., ;HGUC
HGUC Elpeo Ple's Qubeley Mk-II.jpg;AMX-004-2 Elpeo Ple's Qubeley Mk-II;Mobile Suit Gundam ZZ;¥1,800;2016 September;P-Bandai exclusive color variant of HGUC-195., ;HGUC
HGUC Prototype Stark Jegan.jpg;RGM-89S Prototype Stark Jegan;Mobile Suit Gundam Unicorn RE:0096;¥2,500;2016 September;P-Bandai exclusive parts and color variant of HGUC-104., ;HGUC
HGUC Mega Bazooka Launcher.jpg;Mega Bazooka Launcher;Mobile Suit Zeta Gundam;¥1,200;2016 September;P-Bandai exclusive accessory kit for HGUC-200, originally released in HGUC-048. Includes additional water slide marking sheet., ;HGUC
HGUC Lydo Wolf's GM Sniper II.jpg;RGM-79SP Lydo Wolf's GM Sniper II;Gundam Legacy;¥1,500;2016 September;P-Bandai exclusive color variant of HGUC-146., ;HGUC
HGUC Crossbone Gundam X-1 Custom II.jpg;XM-X1 Crossbone Gundam X1 Custom II;Mobile Suit Crossbone Gundam: Skull Heart;¥2,200;2016 October;P-Bandai exclusive color variant of HGBF-035 without the Full Cloth unit., ;HGUC
HGUC Zeta Plus C1.jpg;MSZ-006C1 Zeta plus C1;Gundam Sentinel;¥2,400;2016 November;P-Bandai exclusive re-release of HGUC-182 with new front waist armor, wing and backpack parts. Beam rifle and shield replaced with beam smart gun. Transforms via parts-swapping. Includes additional marking sheet., ;HGUC
HGUC Gouf (Clear Color Ver.).jpg;MS-07B Gouf Clear Color Ver.;Mobile Suit Gundam;¥1,500;2016 November;Gunpla Expo World Tour Japan 2016 Winter exclusive clear color variant of HGUC-196., ;HGUC
HGUC PaleRider GroundHeavyEquipmentType HADESModeExtraFinish.jpg;RX-80PR Pale Rider (Ground Heavy Equipment Type) HADES Mode Extra Finish Ver.;Mobile Suit Gundam Side Story: Missing Link;¥3,500;2016 November;Gunpla Expo World Tour Japan 2016 Winter exclusive metallic color variant of HGUC RX-80PR Pale Rider (Ground Heavy Equipment Type)., ;HGUC
HGUC UnicornGundam03 UnicornMode GoldCoating.jpg;RX-0 Unicorn Gundam 03 Phenex (Unicorn Mode) Gold Coating Ver.;Mobile Suit Gundam UC: One of Seventy Two;¥2,700;2016 November;Gunpla Expo World Tour Japan 2016 Winter exclusive parts and gold chrome plated variant of HGUC-101., ;HGUC
HGCE Freedom Gundam (Gold Injection Color).jpg;ZGMF-X10A Freedom Gundam Gold Injection Color;Mobile Suit Gundam SEED;¥2,000;2016 November;7-Eleven Japan exclusive gold injection color variant of HGCE-192., ;HGUC
HGCE Sword Impulse Gundam.jpg;ZGMF-X56S/ß Sword Impulse Gundam;Mobile Suit Gundam SEED Destiny;¥2,700;2016 December;P-Bandai exclusive parts and color variant of HGCE-198. Includes extra unpainted torso for HGCE-192 to replicate scene from Nightmare, episode 34 of the series. ;HGUC
HGUC Gundam VerGFT Revive Editio.jpg;RX-78-2 Gundam Ver.GFT Revive Edition;Mobile Suit Gundam;¥1,600;2016 December;Gundam Front Tokyo exclusive re-release of HGUC-191 with display plate and marking sheet to replicate the 1/1 scale Gundam statue's livery. Released to commemorate the last days of the venue and statue at Diver City Tokyo in Odaiba., ;HGUC
HGUC Unicorn Gundam 03 Phenex Type RC -Unicorn Mode- Silver Coating Ver.jpg;RX-0 Unicorn Gundam 03 Phenex type RC (Unicorn Mode) Silver Coating Ver.;Gundam Reconguista in G: From the Past to the Future;¥5,400;2017 January;P-Bandai exclusive parts and silver chrome plated variant of HGUC-101. Silver chrome plated variant of Gunpla Expo World Tour Japan 2016 Winter exclusive RX-0 Unicorn Gundam 03 Phenex (Unicorn Mode) Gold Coating Ver.., ;HGUC
HGUC Crossbone Gundam X-3.jpg;XM-X3 Crossbone Gundam X3;Mobile Suit Crossbone Gundam;¥1,200;2017 February;P-Bandai exclusive parts and color variant of HGUC-187., ;HGUC
HGUC Conroy's Jegan ECOAS Type.jpg;RGM-89De Conroy's Jegan (ECOAS Type);Mobile Suit Gundam Unicorn;¥1,800;2017 April;P-Bandai exclusive parts variant of HGUC-123. Includes Precision Firing Sensor, Handgun, and Dagger Knife., ;HGUC
HGUC Dom Tropen -Unicorn Ver.-.jpg;MS-09F/trop Dom Tropen (Unicorn Ver.);Mobile Suit Gundam Unicorn;¥1,700;2017 April;P-Bandai exclusive color variant of HGUC-027. Includes grenade-holding left hand., ;HGUC
HGUC Gelgoog -Unicorn Ver.-.jpg;MS-14A Gelgoog (Unicorn Ver.);Mobile Suit Gundam Unicorn (Novel);¥1,700;2017 May;"P-Bandai exclusive color variant of HGUC-070 with regular version's head and Beam Machine Gun from HGUC-091. Includes new ""Sleeves"" parts., ";HGUC
HGUC Zaku II FZ B Type -Unicorn Ver.-.jpg;MS-06FZ Zaku II FZ Type-B (Unicorn Ver.);Mobile Suit Gundam Unicorn (Novel);¥1,400;2017 May;P-Bandai exclusive color variant of HGUC-087. Includes Zaku Bazooka from the E-Runner Plate from HGUC-151., ;HGUC
